feature,mean_importance
same_srv_rate,0.0
dst_host_srv_count,0.0
dst_host_srv_rerror_rate,0.0
dst_host_serror_rate,0.0
serror_rate,0.0
dst_host_diff_srv_rate,0.0
diff_srv_rate,0.0
srv_diff_host_rate,0.0
rerror_rate,0.0
srv_rerror_rate,0.0
dst_host_count,0.0
srv_serror_rate,0.0
count,0.0
dst_host_srv_serror_rate,0.011145635008804194
dst_host_rerror_rate,0.022377689956406516
service,0.10454316917707396
dst_host_same_srv_rate,0.24126666970125082
logged_in,0.2456950315202961
flag,0.5245446395354909
