feature,mean_importance
rerror_rate,5.6470566233508825e-05
diff_srv_rate,0.0003928256874204925
srv_serror_rate,0.0005556117912308995
serror_rate,0.0017854846557439515
same_srv_rate,0.0035279241883270952
srv_diff_host_rate,0.00359893560827306
dst_host_srv_rerror_rate,0.004801674105129575
dst_host_srv_serror_rate,0.005173740711883927
srv_rerror_rate,0.0053837821923073135
logged_in,0.0059934435368477115
flag,0.012247694251420983
dst_host_diff_srv_rate,0.017271914034174975
dst_host_serror_rate,0.019802831862220434
dst_host_same_srv_rate,0.03321833092844872
dst_host_rerror_rate,0.048954547502145285
dst_host_srv_count,0.06573204738332054
count,0.06576380357104412
dst_host_count,0.08674419495966895
service,0.3722402454422694
