feature,mean_importance
serror_rate,2.1051002678726394e-05
dst_host_serror_rate,2.168981524928726e-05
srv_serror_rate,4.1292811039400634e-05
rerror_rate,6.288035512363732e-05
dst_host_srv_rerror_rate,8.934794195933349e-05
srv_diff_host_rate,0.0004995139210154237
dst_host_srv_serror_rate,0.0031550594040248544
count,0.004573260287589129
srv_rerror_rate,0.004598777632542084
same_srv_rate,0.005893331824257869
diff_srv_rate,0.007860402183434817
dst_host_diff_srv_rate,0.00830002442739009
dst_host_count,0.012536736172097634
dst_host_srv_count,0.0179307952413542
dst_host_rerror_rate,0.02947064072644908
service,0.09698019723571168
dst_host_same_srv_rate,0.12541216562470742
logged_in,0.20351689307885867
flag,0.47609176889330396
