feature,mean_importance
srv_serror_rate,0.0025753129361838906
serror_rate,0.002609055569392377
srv_diff_host_rate,0.003428918272824012
dst_host_serror_rate,0.004151510050091923
srv_rerror_rate,0.004695145859826562
rerror_rate,0.004715040511753374
dst_host_srv_rerror_rate,0.006795644093777392
dst_host_srv_serror_rate,0.007250027589170585
dst_host_rerror_rate,0.026674254202780755
same_srv_rate,0.03103684007226224
count,0.031743733797210856
dst_host_count,0.03289034719430868
dst_host_same_srv_rate,0.048169264048433365
dst_host_diff_srv_rate,0.04861277032956866
dst_host_srv_count,0.06866865161841035
diff_srv_rate,0.07190297608206452
flag,0.18089766211471897
service,0.1829408990751335
logged_in,0.1965805612461533
