feature,mean_importance
srv_serror_rate,0.00018047687418773183
rerror_rate,0.0002599335312545383
diff_srv_rate,0.000306437187825807
serror_rate,0.0009566569217379015
srv_diff_host_rate,0.0029987807928970457
same_srv_rate,0.003643941491874733
dst_host_srv_serror_rate,0.004784874174794581
srv_rerror_rate,0.0051233191526280485
dst_host_srv_rerror_rate,0.007165545202498139
dst_host_serror_rate,0.009428457866858437
logged_in,0.009486278814384996
flag,0.01269836293392696
dst_host_diff_srv_rate,0.015862227301497785
dst_host_same_srv_rate,0.02025387449170667
dst_host_rerror_rate,0.040527322858379226
dst_host_srv_count,0.05561200511656732
dst_host_count,0.06368895309692936
count,0.0652981899461974
service,0.34677934032385194
