feature,mean_importance
diff_srv_rate_diff_flag,-2.3741851795716293e-05
diff_srv_rate,1.640599190287119e-05
same_srv_rate,3.82968055139956e-05
logged_in,6.0581866856905533e-05
diff_srv_rate_diff_logged_in,6.279349704329459e-05
rerror_rate,8.020267799190017e-05
flag,0.00011052730840610779
srv_serror_rate,0.0001737018657525187
serror_rate,0.0010025033115474528
dst_host_count_sum_flag,0.0013685739760537642
dst_host_diff_srv_rate,0.0021237867461254513
dst_host_count_ratio_flag,0.002360218306886248
srv_diff_host_rate,0.0024844801480423573
dst_host_srv_serror_rate,0.0026781070851672265
same_srv_rate_ratio_service,0.003124350799154763
dst_host_count,0.0033521442989451573
service_multiply_same_srv_rate,0.003916643081287985
dst_host_srv_rerror_rate,0.004209641094693352
srv_rerror_rate,0.004800532320083069
dst_host_diff_srv_rate_diff_flag,0.005418256420247338
dst_host_same_srv_rate,0.008019932120948895
flag_ratio_dst_host_count,0.008360066664481185
dst_host_serror_rate,0.009662045246403513
dst_host_diff_srv_rate_diff_logged_in,0.01817296442952513
dst_host_srv_count_diff_count,0.021623596414221014
count,0.03040255837973484
dst_host_srv_count,0.03619275371562757
dst_host_rerror_rate,0.038165191652902844
service,0.0785988934528625
