name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,logloss,0.010193728381437317,222.28,0.0334
2_Default_Xgboost,Xgboost,logloss,0.010499663071482417,113.98,0.0325
3_Default_CatBoost,CatBoost,logloss,0.01460581135641502,55.43,0.0379
5_Default_RandomForest,Random Forest,logloss,0.10864434635224073,71.5,0.1009
9_LightGBM,LightGBM,logloss,0.010246974648867752,580.79,0.0357
5_Xgboost,Xgboost,logloss,0.010729734342985298,157.45,0.0351
13_CatBoost,CatBoost,logloss,0.011266000730172136,127.02,0.0422
17_RandomForest,Random Forest,logloss,0.11098867980850885,49.06,0.0819
10_LightGBM,LightGBM,logloss,0.010716266480491184,107.49,0.0332
6_Xgboost,Xgboost,logloss,0.010361942319192661,108.64,0.0357
14_CatBoost,CatBoost,logloss,0.013256661396349522,54.17,0.0378
18_RandomForest,Random Forest,logloss,0.04581302171936218,82.83,0.0991
11_LightGBM,LightGBM,logloss,0.010204758488517325,224.7,0.0386
7_Xgboost,Xgboost,logloss,0.01245274291856699,263.96,0.0391
15_CatBoost,CatBoost,logloss,0.013153720592160955,55.99,0.0386
19_RandomForest,Random Forest,logloss,0.15176081386133936,64.42,0.116
1_Default_LightGBM_GoldenFeatures,LightGBM,logloss,0.010460535427979862,260.43,0.0573
20_LightGBM,LightGBM,logloss,0.010248952526138824,317.35,0.0339
21_LightGBM,LightGBM,logloss,0.010239720511763485,208.2,0.0328
22_LightGBM,LightGBM,logloss,0.010241767535166871,310.32,0.0331
26_Xgboost,Xgboost,logloss,0.01043387597888975,111.67,0.0336
Ensemble,Ensemble,logloss,0.009847678277479842,27.56,0.2849
