feature,mean_importance
srv_rerror_rate,4.163336342344337e-17
dst_host_srv_rerror_rate,5.551115123125783e-17
srv_diff_host_rate,1.646772448052336e-05
dst_host_count,0.0001790319866188883
srv_serror_rate,0.0010257455280846788
dst_host_rerror_rate,0.0013205242299198449
rerror_rate,0.003181093046390046
serror_rate,0.003673157785346401
dst_host_diff_srv_rate,0.004795914072533561
service,0.008004525784721134
diff_srv_rate,0.011278783107116252
dst_host_srv_count,0.012292722793073932
dst_host_serror_rate,0.01374440091533006
same_srv_rate,0.01826689056639132
dst_host_srv_serror_rate,0.027098532086857224
logged_in,0.04986406955219489
count,0.06681665384530147
dst_host_same_srv_rate,0.10183711030642492
level,0.2887396360670017
flag,0.45844459850036107
