name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,logloss,0.0027448898198968144,135.82,0.0384
2_Default_Xgboost,Xgboost,logloss,0.002792003557555456,85.8,0.0392
3_Default_CatBoost,CatBoost,logloss,0.003914202028585688,137.89,0.0399
5_Default_RandomForest,Random Forest,logloss,0.07864189498053283,57.86,0.0864
9_LightGBM,LightGBM,logloss,0.002518866487293482,249.96,0.0407
5_Xgboost,Xgboost,logloss,0.0030602723373400163,100.67,0.0428
13_CatBoost,CatBoost,logloss,0.0028945678445372724,220.06,0.0399
17_RandomForest,Random Forest,logloss,0.07543306155088961,37.76,0.0935
10_LightGBM,LightGBM,logloss,0.0026820827012086273,82.14,0.0387
6_Xgboost,Xgboost,logloss,0.0027719393524081415,77.22,0.0411
14_CatBoost,CatBoost,logloss,0.003136216762815039,182.05,0.0385
18_RandomForest,Random Forest,logloss,0.028524002561135988,62.77,0.0888
11_LightGBM,LightGBM,logloss,0.0027595711406835544,149.82,0.038
7_Xgboost,Xgboost,logloss,0.004558466160204047,143.57,0.0389
15_CatBoost,CatBoost,logloss,0.0034426830019910542,102.31,0.0382
19_RandomForest,Random Forest,logloss,0.10510326545921207,69.01,0.1197
12_LightGBM,LightGBM,logloss,0.0032400548819325626,156.39,0.0385
8_Xgboost,Xgboost,logloss,0.0080975615932167,122.34,0.0489
16_CatBoost,CatBoost,logloss,0.003149186760937842,94.22,0.0408
20_RandomForest,Random Forest,logloss,0.03644137707120568,42.79,0.087
9_LightGBM_GoldenFeatures,LightGBM,logloss,0.002707028336931942,338.85,0.0649
21_LightGBM,LightGBM,logloss,0.0024459982160446995,152.97,0.0418
22_LightGBM,LightGBM,logloss,0.002609957338467643,134.55,0.0386
23_Xgboost,Xgboost,logloss,0.0027569538110211933,92.64,0.0506
24_Xgboost,Xgboost,logloss,0.002806642168337263,85.69,0.0447
25_Xgboost,Xgboost,logloss,0.0028012297684346004,93.98,0.0547
26_LightGBM,LightGBM,logloss,0.0025686154911094064,88.8,0.0403
27_Xgboost,Xgboost,logloss,0.002716014318993548,89.19,0.0385
30_CatBoost,CatBoost,logloss,0.0030251395615465667,203.49,0.0411
Ensemble,Ensemble,logloss,0.002367291887440694,46.86,0.2627
