feature,mean_importance
serror_rate,-5.551115123125783e-17
srv_diff_host_rate,-4.9960036108132046e-17
srv_serror_rate,-3.8857805861880476e-17
dst_host_srv_count,-3.3306690738754695e-17
srv_rerror_rate,-2.2204460492503132e-17
dst_host_srv_rerror_rate,-1.6653345369377347e-17
rerror_rate,-1.6653345369377347e-17
dst_host_count,2.579695980967911e-05
dst_host_rerror_rate,0.0030198968064503646
service,0.003891021770063996
dst_host_srv_serror_rate,0.004796274669711789
dst_host_serror_rate,0.008753674524282756
dst_host_diff_srv_rate,0.017111446650659466
diff_srv_rate,0.032813981780581106
count,0.03447023266634404
logged_in,0.0410096981221129
same_srv_rate,0.04902898595448459
dst_host_same_srv_rate,0.17277715755289683
level,0.18323216685240465
flag,0.36853892639891095
