feature,mean_importance
rerror_rate,1.2469237200188333e-05
srv_rerror_rate,4.856824792972116e-05
same_srv_rate,7.23798763879473e-05
diff_srv_rate_diff_logged_in,8.253622161303051e-05
logged_in_sum_same_srv_rate,9.483678434735483e-05
same_srv_rate_ratio_level,0.00010668605323339315
logged_in,0.0001262588029963435
srv_serror_rate,0.00014127770924637393
level_ratio_same_srv_rate,0.0001422742175970386
dst_host_srv_rerror_rate,0.00020949283137795694
level,0.00021654856874809967
diff_srv_rate,0.00036468860696292984
srv_diff_host_rate,0.00040463596912972073
dst_host_diff_srv_rate,0.0004875749586384577
serror_rate,0.0005784967018205893
dst_host_same_srv_rate,0.0006077696326423018
dst_host_serror_rate,0.001161641290870412
dst_host_srv_count,0.0019372349249567032
dst_host_srv_count_diff_count,0.0029755973230020855
diff_srv_rate_diff_level,0.003277162485580009
dst_host_diff_srv_rate_diff_logged_in,0.003903170376460153
dst_host_rerror_rate,0.006770930290764493
flag,0.007974044032853556
dst_host_serror_rate_diff_logged_in,0.008221507286772322
level_sum_diff_srv_rate,0.01394645656937272
dst_host_count,0.02111264524912473
count,0.022086019709462622
dst_host_srv_serror_rate,0.09987115425417231
level_multiply_same_srv_rate,0.15919266660187908
service,0.17283357949905187
