feature,mean_importance
diff_srv_rate,5.3021983377632504e-05
rerror_rate,6.191475811409214e-05
srv_rerror_rate,9.560128014915581e-05
dst_host_srv_rerror_rate,0.0001214899113285233
srv_diff_host_rate,0.00034926252074633416
same_srv_rate,0.0009018856503722813
serror_rate,0.0011023479673024725
srv_serror_rate,0.0011485429171602252
logged_in,0.001614750438081216
dst_host_serror_rate,0.0030753965450303405
dst_host_diff_srv_rate,0.0035078339266761682
dst_host_srv_serror_rate,0.004903123373958325
flag,0.007093512210882098
dst_host_rerror_rate,0.008439995924516936
dst_host_srv_count,0.010162933202703743
dst_host_same_srv_rate,0.010591867884051608
dst_host_count,0.023685046214701754
count,0.06395132181955186
service,0.23955989093809466
level,0.2875734436124169
