feature,mean_importance
srv_diff_host_rate,3.3306690738754695e-17
srv_rerror_rate,1.362133052427994e-05
dst_host_srv_rerror_rate,0.00014712490662943943
diff_srv_rate,0.0005296230076243635
dst_host_count,0.0006368044141263129
dst_host_rerror_rate,0.0013755289791717196
rerror_rate,0.001761993669213005
dst_host_diff_srv_rate,0.002003428411232075
srv_serror_rate,0.002004783417938216
serror_rate,0.0068423713036773305
dst_host_srv_count,0.007846694213470664
service,0.008540416500116842
dst_host_serror_rate,0.01275852856352019
same_srv_rate,0.01396737182345344
dst_host_srv_serror_rate,0.02497488412563196
count,0.05063232601951678
logged_in,0.06835920196577851
dst_host_same_srv_rate,0.10320763848470715
level,0.2712150966227276
flag,0.4606143072132299
