feature,mean_importance
srv_rerror_rate,-1.3877787807814457e-17
dst_host_srv_rerror_rate,0.0
srv_diff_host_rate,1.646772448044287e-05
dst_host_count,0.00017903198661887166
srv_serror_rate,0.0010257455280846205
dst_host_rerror_rate,0.0013205242299197313
rerror_rate,0.00318109304639001
serror_rate,0.0036731577853463455
dst_host_diff_srv_rate,0.004795914072533524
service,0.00800452578472106
diff_srv_rate,0.011278783107116169
dst_host_srv_count,0.01229272279307388
dst_host_serror_rate,0.013744400915330001
same_srv_rate,0.018266890566391282
dst_host_srv_serror_rate,0.027098532086857176
logged_in,0.04986406955219484
count,0.06681665384530143
dst_host_same_srv_rate,0.10183711030642487
level,0.2887396360670015
flag,0.45844459850036107
