feature,mean_importance
same_srv_rate,2.600425991931051e-06
rerror_rate,5.348353327503785e-06
srv_serror_rate,2.424591595125451e-05
flag,5.022331757526133e-05
dst_host_srv_rerror_rate,7.706028911092121e-05
level,0.00012257523871140813
srv_rerror_rate,0.00012364190025434654
same_srv_rate_ratio_level,0.00014500867585867625
level_ratio_flag,0.00014563013872046383
diff_srv_rate,0.00030120610968456475
srv_diff_host_rate,0.00037721134669502687
flag_ratio_level,0.00039314558833340653
serror_rate,0.00045637934500161693
level_ratio_same_srv_rate,0.0006004600679475899
level_sum_flag,0.000933477304408452
diff_srv_rate_diff_level,0.0011218590074785165
level_multiply_flag,0.001960415373076687
dst_host_diff_srv_rate,0.0025132455889226865
same_srv_rate_ratio_service,0.002687145289044066
dst_host_same_srv_rate,0.0027546444591902185
dst_host_serror_rate,0.002994489163296697
logged_in,0.005459465315366026
dst_host_rerror_rate,0.007076303160231221
dst_host_srv_count,0.007562871544059366
flag_diff_level,0.008284799488619675
dst_host_count,0.019348446733546902
count,0.03052035660877218
dst_host_srv_serror_rate,0.0889869105045097
service,0.11850280173322976
level_multiply_same_srv_rate,0.22599074449852558
