feature,mean_importance
srv_rerror_rate,0.00010253708045921267
rerror_rate,0.0005052210235672969
dst_host_srv_rerror_rate,0.0021501544444671797
srv_diff_host_rate,0.0029699596698177207
dst_host_diff_srv_rate,0.005876883404835338
dst_host_rerror_rate,0.005958701501647974
serror_rate,0.006170529120995913
dst_host_serror_rate,0.010042041523492778
dst_host_srv_count,0.013148014495184324
dst_host_count,0.014902501501594972
dst_host_srv_serror_rate,0.020709050081221238
srv_serror_rate,0.02254237143600592
same_srv_rate,0.023127986540621853
diff_srv_rate,0.025801190252842637
dst_host_same_srv_rate,0.04007755246105004
count,0.044459180131079495
logged_in,0.052451321860047716
service,0.0850105699256388
flag,0.17133423817248608
level,0.20690684986934543
