feature,mean_importance
same_srv_rate,-5.37985001944857e-05
level_ratio_same_srv_rate,-5.2538870572229734e-05
srv_serror_rate,-2.7804111550898578e-05
rerror_rate,3.8110695398962426e-06
flag_ratio_level,8.324148230304164e-06
diff_srv_rate,6.088843363314337e-05
same_srv_rate_ratio_level,7.501614242129392e-05
level,0.00015333314112086666
dst_host_srv_rerror_rate,0.00017268728882578543
srv_rerror_rate,0.000190885891101932
serror_rate,0.00019664807711732777
level_ratio_flag,0.00019895800413636307
srv_diff_host_rate,0.00023987056142311036
flag,0.0002867152564496045
dst_host_same_srv_rate,0.000513409874251654
logged_in,0.0009719633769817634
level_multiply_flag,0.0011052652218646237
diff_srv_rate_diff_level,0.0011570686096993475
level_sum_flag,0.0013046860401613358
flag_diff_level,0.001463127816348606
dst_host_diff_srv_rate,0.0021340117478023117
dst_host_serror_rate,0.002381403338615913
dst_host_rerror_rate,0.002702443034561185
same_srv_rate_ratio_service,0.003150371935688787
dst_host_srv_count,0.0056552746158638895
dst_host_srv_serror_rate,0.00621426250764993
level_multiply_same_srv_rate,0.006415587206511188
dst_host_count,0.014895620478934505
count,0.030676015932768093
service,0.03977969218279187
