feature,mean_importance
srv_rerror_rate,4.995942429212342e-05
rerror_rate,0.00013766355372076892
diff_srv_rate,0.00024123339955811062
dst_host_srv_rerror_rate,0.00027724574263926163
serror_rate,0.0004142453428485664
srv_diff_host_rate,0.0005014953985808446
srv_serror_rate,0.0006932742259610882
dst_host_srv_serror_rate,0.0010783994362235177
same_srv_rate,0.0012414387103848435
dst_host_same_srv_rate,0.0027103448302879312
dst_host_diff_srv_rate,0.004190363081670702
flag,0.00597459047404911
dst_host_srv_count,0.006110202260048194
dst_host_serror_rate,0.006494506280104173
dst_host_rerror_rate,0.009899186249514934
logged_in,0.010348785373398043
count,0.026420428233330608
dst_host_count,0.02861567955532021
service,0.10819171728634021
level,0.1990181972023029
