name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,logloss,0.0027448895756775676,188.59,0.0288
2_Default_Xgboost,Xgboost,logloss,0.0027920035679648812,52.58,0.0275
3_Default_CatBoost,CatBoost,logloss,0.004292438367889451,34.14,0.0349
5_Default_RandomForest,Random Forest,logloss,0.07864189498053285,38.88,0.0796
9_LightGBM,LightGBM,logloss,0.0025188913257721377,233.79,0.0295
5_Xgboost,Xgboost,logloss,0.003060272368568752,72.56,0.029
13_CatBoost,CatBoost,logloss,0.003206732804872891,95.54,0.0351
17_RandomForest,Random Forest,logloss,0.07543306155088961,27.44,0.0867
10_LightGBM,LightGBM,logloss,0.0026820827165181475,116.51,0.0297
6_Xgboost,Xgboost,logloss,0.0027719392634542126,44.74,0.0268
14_CatBoost,CatBoost,logloss,0.0036945026989663944,45.26,0.0378
18_RandomForest,Random Forest,logloss,0.02852400256113599,43.17,0.0813
11_LightGBM,LightGBM,logloss,0.002759571061850626,216.42,0.0292
7_Xgboost,Xgboost,logloss,0.00455846616872098,74.78,0.0297
15_CatBoost,CatBoost,logloss,0.003878618166183667,33.43,0.0332
19_RandomForest,Random Forest,logloss,0.10510326545921207,46.28,0.0998
12_LightGBM,LightGBM,logloss,0.0032400548412325598,248.37,0.0279
8_Xgboost,Xgboost,logloss,0.008097561669869876,65.31,0.0279
16_CatBoost,CatBoost,logloss,0.0036969410022936254,30.13,0.0341
20_RandomForest,Random Forest,logloss,0.03644137707120568,28.67,0.0768
9_LightGBM_GoldenFeatures,LightGBM,logloss,0.0026038240168215986,258.25,0.0456
10_LightGBM_GoldenFeatures,LightGBM,logloss,0.002919191841349612,120.0,0.0441
1_Default_LightGBM_GoldenFeatures,LightGBM,logloss,0.0029877076487959415,220.5,0.0433
21_LightGBM,LightGBM,logloss,0.002595379320529689,362.37,0.0284
22_LightGBM,LightGBM,logloss,0.002514809100326152,231.83,0.03
23_LightGBM_GoldenFeatures,LightGBM,logloss,0.0026961398711342166,329.28,0.0447
24_LightGBM,LightGBM,logloss,0.0024553112514467375,129.65,0.0292
25_LightGBM,LightGBM,logloss,0.0024459982160447004,137.14,0.0287
26_Xgboost,Xgboost,logloss,0.0027569537485637153,49.82,0.0291
Ensemble,Ensemble,logloss,0.002339777519729415,30.14,0.1258
