feature,mean_importance
rerror_rate,-3.559415532506946e-05
srv_rerror_rate,1.0357381425685035e-05
srv_serror_rate,3.6908860925202994e-05
dst_host_srv_rerror_rate,0.00014742635241564553
diff_srv_rate,0.0002632254770471661
srv_diff_host_rate,0.0003088068263895947
serror_rate,0.0010172712194679659
same_srv_rate,0.0014198233426392288
dst_host_serror_rate,0.002886492979515809
dst_host_diff_srv_rate,0.0033426454374213257
logged_in,0.004586411738041691
dst_host_rerror_rate,0.005481457032610491
dst_host_srv_count,0.008537729151818094
flag,0.015187185738460193
dst_host_same_srv_rate,0.016956718340759482
dst_host_count,0.019143848890331362
count,0.1638480325686738
dst_host_srv_serror_rate,0.23074271322048126
service,0.2325138143368307
level,0.44697273904860263
