feature,mean_importance
level,-0.00012017571100535716
level_ratio_flag,-5.780110720385312e-05
same_srv_rate,2.7192916986055334e-06
rerror_rate,1.642885769979679e-05
same_srv_rate_ratio_level,5.421052811859367e-05
srv_rerror_rate,6.553862783120366e-05
flag,7.737605001284396e-05
level_ratio_same_srv_rate,0.00012015616990062854
srv_serror_rate,0.0001289134866094283
flag_ratio_level,0.00014154091723509436
srv_diff_host_rate,0.000246513706243687
dst_host_srv_rerror_rate,0.0002897272938026742
diff_srv_rate,0.0004522614213364907
serror_rate,0.000978082148399399
diff_srv_rate_diff_level,0.0015862980886251726
level_sum_flag,0.00179504358044514
level_multiply_flag,0.0020218235540633528
dst_host_same_srv_rate,0.0025492774510629014
dst_host_diff_srv_rate,0.003104768400094559
dst_host_serror_rate,0.004408146948467732
logged_in,0.005682970442683892
same_srv_rate_ratio_service,0.005917920801100803
dst_host_rerror_rate,0.006168087588790181
dst_host_srv_count,0.006593207920317136
flag_diff_level,0.009206411310879084
dst_host_count,0.021869576788147483
count,0.027637915022307162
dst_host_srv_serror_rate,0.0825153424058492
service,0.08299739858977838
level_multiply_same_srv_rate,0.2460494833417664
