feature,mean_importance
diff_srv_rate,-5.490628954573649e-05
rerror_rate,-1.6799364769589255e-05
srv_rerror_rate,0.00011612277791726977
dst_host_srv_rerror_rate,0.00012789102786796552
srv_diff_host_rate,0.00028082661885371927
srv_serror_rate,0.0004003899864968187
same_srv_rate,0.0004887942467664856
serror_rate,0.0006897636728623649
logged_in,0.0010837618048517178
dst_host_same_srv_rate,0.0011372778004909703
flag,0.001564474643359052
dst_host_srv_serror_rate,0.0016930090327994343
dst_host_serror_rate,0.0025552096709327114
dst_host_diff_srv_rate,0.0031186969124571153
dst_host_rerror_rate,0.003553663635263893
dst_host_srv_count,0.005955003257666594
dst_host_count,0.019057448452554616
count,0.0230775490878081
service,0.19790784251269894
level,0.23847921888554707
