feature,mean_importance
level,-0.00011675573317449783
rerror_rate,-7.187424352008768e-05
level_ratio_same_srv_rate,-1.813772424921218e-05
same_srv_rate,-6.257804257393026e-06
same_srv_rate_ratio_level,5.65088759743395e-05
srv_serror_rate,8.497122761557847e-05
level_ratio_flag,0.00011020262287878436
dst_host_srv_rerror_rate,0.00013350334556508418
flag_ratio_level,0.0001505956895518223
srv_rerror_rate,0.00016208710833893488
flag,0.00021222386639403604
diff_srv_rate,0.0002308064175335736
srv_diff_host_rate,0.00032458408535134524
dst_host_same_srv_rate,0.0005097379298198168
serror_rate,0.0005985820132827168
level_multiply_flag,0.0006578860484566088
diff_srv_rate_diff_level,0.0007547231475323254
logged_in,0.0012150892519623394
flag_diff_level,0.001513608940273472
same_srv_rate_ratio_service,0.0016566917366415297
level_sum_flag,0.0025347295202695465
dst_host_diff_srv_rate,0.002709534648623277
dst_host_serror_rate,0.003946675420232191
dst_host_rerror_rate,0.004365786801945344
dst_host_srv_count,0.006035042863426749
dst_host_srv_serror_rate,0.0076198872640099655
level_multiply_same_srv_rate,0.016533899767357856
dst_host_count,0.022030603970699218
count,0.04515852021111775
service,0.0776543351314386
