feature,mean_importance
srv_serror_rate,9.56615178659994e-05
rerror_rate,0.0001542424849860783
diff_srv_rate,0.00024891106191544493
serror_rate,0.0009496585572833543
dst_host_srv_serror_rate,0.0009638525043544541
same_srv_rate,0.0011534313550675902
srv_diff_host_rate,0.0017357573081424119
srv_rerror_rate,0.003188357401063041
dst_host_srv_rerror_rate,0.0039179786772149065
dst_host_serror_rate,0.007496721800104222
flag,0.008649996723021525
dst_host_same_srv_rate,0.016461330708402996
dst_host_diff_srv_rate,0.02246535235363658
logged_in,0.024888652912685237
count,0.04787273855509695
dst_host_rerror_rate,0.04968888987512127
dst_host_srv_count,0.06085505984425403
dst_host_count,0.1329955101552843
service,0.2532053314047007
