feature,mean_importance
rerror_rate,4.70447327123754e-05
srv_serror_rate,0.00025638032602984283
diff_srv_rate,0.000285058312053732
serror_rate,0.0014459800189250565
same_srv_rate,0.002530506193193065
srv_diff_host_rate,0.0033529461239627683
dst_host_srv_serror_rate,0.0033774164115703805
dst_host_srv_rerror_rate,0.004535513075958035
srv_rerror_rate,0.0045391977540537925
dst_host_serror_rate,0.007034450431428479
logged_in,0.010934319602218788
dst_host_diff_srv_rate,0.013462601821262115
dst_host_same_srv_rate,0.021631158695095694
flag,0.02329656261799532
dst_host_rerror_rate,0.044147588852488276
dst_host_count,0.05016814323605645
count,0.055534711486098634
dst_host_srv_count,0.055716685021127
service,0.34464814671999705
