feature,shap_importance
flag,2.289550943189471
service,1.7141267739367807
dst_host_srv_count,1.7113286711376232
count,1.6990166955081967
dst_host_srv_serror_rate,1.1721615493257627
logged_in,0.9913935627288879
same_srv_rate,0.8421346702003053
dst_host_rerror_rate,0.7409332461609986
dst_host_same_srv_rate,0.7256593014522434
dst_host_serror_rate,0.6881754604836952
srv_diff_host_rate,0.4469543186075266
dst_host_count,0.4448419931231683
dst_host_diff_srv_rate,0.3983054098277516
diff_srv_rate,0.305173108296872
srv_rerror_rate,0.16808247033221008
srv_serror_rate,0.1330928155909058
dst_host_srv_rerror_rate,0.12276160331979656
serror_rate,0.07040850084019211
rerror_rate,0.03635210542357995
